Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Target
-0.677,-0.316,0.134,-1.31,0.898,-1.248,0.496,2.22,-0.071,0.068,-1.071,0.168,0.068,0.388,0.043,0.042,-1.511,0.46,-1.007,-0.284,-0.294,-0.271,-0.282,-0.742,-0.235,0.217,-1.387,-1.083,-0.435,0.165,-0.211,-0.122,-1.034,-0.374,-0.259,0.336,0.6,0.482,1.724,0.296,0.746,-0.913,-0.056,-0.566,-0.276,-0.384,-0.29,0.364,-1.69,-1.366,-0.983
0.377,0.397,0.627,-0.142,2.089,-0.723,-1.601,-0.232,-0.699,-1.963,-0.002,-1.683,0.221,-0.337,0.201,0.042,-0.15,-1.899,0.41,0.802,-0.485,0.776,0.217,0.115,-0.906,-1.501,0.152,-0.38,-0.046,-0.897,-0.021,-0.202,-0.707,-0.075,-0.063,0.724,-0.187,0.074,0.129,0.363,0.431,-0.189,0.305,0.436,0.23,-0.155,0.273,0.839,-0.189,-0.679,0.856
-0.467,-0.951,-0.739,-0.562,0.685,0.378,1.207,-0.508,0.301,-0.179,-0.793,-0.423,-2.97,-4.423,-0.842,-2.114,1.513,0.213,-0.766,0.638,1.593,1.339,-0.737,-1.88,-1.089,0.566,-1.028,1.071,-2.692,-2.224,-0.836,-0.412,-0.334,-0.352,-1.194,-0.159,0.8,-0.055,-3.96,-0.64,-2.434,-0.061,-0.882,-1.118,-0.788,-1.187,-0.29,-0.349,0.324,1.062,-1.606
0.717,0.797,0.441,-0.016,0.771,-1.057,-0.91,1.923,0.189,-0.42,0.712,-0.764,1.162,1.254,0.709,1.335,0.498,-1.089,0.715,1.995,-0.558,0.21,-0.214,-0.012,2.493,-0.347,2.258,0.799,0.669,0.43,0.255,0.093,0.307,0.393,1.445,0.249,-1.191,-0.834,0.965,0.397,-0.447,0.829,0.133,0.722,0.233,0.19,0.16,0.245,0.327,-0.169,1.094
-2.014,1.175,0.37,-2.007,-0.227,-0.51,-0.792,0.404,1.079,0.895,-2.226,-0.036,0.511,-0.289,0.886,0.904,-0.793,0.334,-2.077,-1.332,0.415,-0.094,-0.663,-0.783,-0.489,-0.931,-0.202,-1.839,0.705,0.43,0.44,1.238,0.173,0.474,0.51,0.339,1.229,2.632,-0.23,0.475,4.657,-1.714,0.438,1.149,0.482,0.419,0.16,0.364,-0.864,0.666,-1.041
0.094,0.303,0.679,-0.303,0.249,-0.655,0.625,1.057,-1.452,-0.842,-0.821,0.106,1.095,0.942,0.595,0.042,0.501,0.23,-0.889,-0.948,0.126,-1.394,-1.248,0.983,-0.046,-0.216,-2.225,-1.214,1.2,0.165,-0.573,-0.411,1.081,0.096,-0.259,0.351,0.969,1.493,1.219,0.371,-0.448,-1.191,-0.441,0.235,0.298,-0.843,0.048,0.364,0.37,-0.123,0.176
0.325,0.468,0.493,-1.839,1.139,-0.209,0.505,-0.396,-1.193,0.553,0.603,-0.758,0.602,0.518,0.361,0.473,0.263,-0.337,0.734,0.711,-0.307,-0.391,-0.224,1.717,0.724,0.077,0.401,0.249,0.25,-0.366,0.626,-1.855,-1.73,0.17,0.133,0.718,-1.321,-0.207,0.096,0.336,-0.454,0.25,-0.321,0.79,-0.118,0.648,0.385,0.839,0.162,0.098,0.618
0.217,-0.336,-1.707,-1.148,1.267,-0.452,-1.067,0.367,-0.718,-0.662,0.569,-0.481,-3.855,-2.996,-0.848,-1.252,-2.354,-0.098,0.007,-0.717,0.57,-1.398,-0.714,0.047,0.552,-1.554,1.01,2.066,-3.895,-1.162,0.071,-1.256,-0.066,0.219,0.872,1.317,0.372,-2.094,0.126,-0.099,-0.457,1.528,-0.323,-2.055,-0.522,0.82,-0.009,1.017,-2.473,1.009,-0.497
-1.382,-1.716,-1.05,-0.052,-1.648,-1.329,-1.06,0.265,-0.949,0.688,0.127,-0.716,-0.979,-0.346,-1.27,-0.39,-1.076,0.199,-0.607,0.694,-0.532,-0.299,1.836,1.138,-0.385,0.365,1.055,2.58,-0.982,0.165,0.432,-1.456,-0.988,-0.203,0.51,1.326,-1.322,-0.723,1.21,0.16,-0.457,2.699,-0.491,-1.28,0.695,0.419,1.397,1.671,0.138,1.33,-0.736
1.326,1.467,0.308,-0.505,0.646,0.444,-0.653,0.26,0.803,2.022,1.046,-0.452,-0.394,-0.556,1.201,0.042,0.221,0.6,1.011,-1.109,0.521,0.279,-2.427,-0.449,-0.316,2.996,-1.238,0.853,0.421,0.43,1.174,-0.804,-0.585,0.907,0.314,0.338,-1.316,-0.483,-0.797,0.583,1.289,0.833,0.689,1.168,0.279,1.336,0.835,0.364,0.088,0.164,1.053
